Cuda installed! Running on GPU!
Device: cuda:0 Quadro RTX 8000
4.486768969918806 29 29 29 29
Epoch: 50, Loss: 0.0001719198490749916
Epoch: 100, Loss: 0.0001541171517770175
Epoch: 150, Loss: 8.285930189890975e-05
Epoch: 200, Loss: 4.8998845972322306e-05
Epoch: 250, Loss: 0.0001675271787711139
Epoch: 300, Loss: 6.612255218617095e-05
Epoch: 350, Loss: 3.214434377074476e-05
Epoch: 400, Loss: 3.351521123600426e-05
Epoch: 450, Loss: 2.4596214903226206e-05
Epoch: 500, Loss: 1.3794470132011855e-05
Epoch: 550, Loss: 2.480073532354813e-05
Epoch: 600, Loss: 2.226354848102342e-05
Epoch: 650, Loss: 2.858484519009371e-05
Epoch: 700, Loss: 2.572756364036852e-05
Epoch: 750, Loss: 1.1248879480578767e-05
Epoch: 800, Loss: 9.668772708232582e-06
Epoch: 850, Loss: 1.2604858277489595e-05
Epoch: 900, Loss: 1.067881551207133e-05
Epoch: 950, Loss: 1.203634237494612e-05
Epoch: 1000, Loss: 1.6411834142896746e-05
Epoch: 1050, Loss: 2.5168417094858953e-05
Epoch: 1100, Loss: 1.9961800622115938e-05
Epoch: 1150, Loss: 8.876351819753781e-06
Epoch: 1200, Loss: 2.1814802359010556e-05
Epoch: 1250, Loss: 1.1900871419620519e-05
Epoch: 1300, Loss: 1.5419033039986917e-05
Epoch: 1350, Loss: 7.543423857847749e-06
Epoch: 1400, Loss: 7.07897135712966e-06
Epoch: 1450, Loss: 9.777484010815329e-06
Epoch: 1500, Loss: 7.391980218144735e-06
Epoch: 1550, Loss: 7.427011661394998e-06
Epoch: 1600, Loss: 7.269210690495698e-06
Epoch: 1650, Loss: 1.000858291167036e-05
Epoch: 1700, Loss: 9.340901931639269e-06
Epoch: 1750, Loss: 1.3728850398572022e-05
Epoch: 1800, Loss: 4.124661633680053e-06
Epoch: 1850, Loss: 7.593857354873334e-06
Epoch: 1900, Loss: 2.0934146577085386e-05
Epoch: 1950, Loss: 8.8440184698596e-06
Epoch 01981: reducing learning rate of group 0 to 1.0000e-03.
Epoch: 2000, Loss: 2.3347038871576283e-06
Epoch: 2050, Loss: 2.7835357352644406e-06
Epoch: 2100, Loss: 3.0235280040724923e-06
Epoch: 2150, Loss: 3.016807811526309e-06
Epoch: 2200, Loss: 3.565724948936061e-06
